"Timestamp","... regarding your studies:","... regarding your general mood:","... regarding your expectations (worse/better than expected?):","If you want to name reasons for the above, please drop a line.","Online classes work well for lectures (lecturer presents information)","Online classes work well for tutorials (teacher presents and discusses exercises and solutions) ","Online classes work well for ""Testate"" (students present homework to e.g. research assistant)","Online classes work well for small seminars (<= 15 students)","Online classes work well for large seminars (>15 students)","Online classes work well for giving or listening to presentations","Online classes work well for reading clubs","Online classes work well for study projects","Solving homework exercises online as a group works fine","Working together on other projects (presentation, paper, etc.) online works fine.","Working online as a student assistant (HiWi) works fine.","Participating in extracurricular activities (e.g. student body, university politics) online works fine.","Managing general administration tasks (e.g. examination office) remotely works fine. ","Do you want to add something more specific about the parts of online university that work well or not so well? ","Do you have suggestions on how to improve the shortcomings of specific types of sessions?","How problematic was the summer term 2020 for you in general?","Which of the following issues or problems affected you as a result of the Covid-19 crisis and/or the online semester? ","Do you suffer from any psychological conditions?","If you suffer from any psychological conditions, did your situation worsen since March 2020?","If you like, please tell us about any particularly striking problems that you encountered personally. If possible, please mention ways in which similar problems could be preventable or solvable for others in the future.","To cope with any arising issues, which of the following services have you used?","How many ECTS points are you aiming to get this semester?","How many classes did you drop because of the current situation?","Are you currently following more or less courses than in other semesters?","How much work are the current digital courses compared to usual university courses?","Do you think that you will need more semesters than planned to complete your studies because of Corona?","Are you regularly taking part in lectures or seminars that are broadcasted live?","Have you been able to complete all your courses from the winter term?","If you have no yet completed all of your courses from the winter term, do you already know when and how you will be able to complete these courses?","How often do you arrange meetings with other people for studying?","Do you meet virtually with people for studying?","Would you wish there would be offer more online social events?","Do you feel a lack of structure in your day because of the online semester?","What tech-setup do you use for university? (Select all that apply)","Which of the university's equipment or facilities that fell away during the last semester is most crucial to your studies/you had a hard time compensating for?","How many fellow students are you regularly in contact with via chat/phone/video/screenshare (primarily uni-matters)?","Which of the following messenger/chat services do you need to communicate within the courses?","What is the most useful format for lecture slides?","What 'Format' of recorded lectures do you find the most engaging/easy to follow ?","In your opinion, how much of Stud.IP's potential is used by the average course ?","Which Stud.IP service would you like to see used more often?","Did you know? There is an interactive Google Sheet called the Coxi Grade Calculator the keep track of required courses, grades and your thesis! (Links provided in the mail to this survey.)","Did you know? There is a virtual university campus to join via a Discord (chat service) server, that provides screensharing, voice/videoChat, updates on courses and emotional support in tough times! (Links provided in the mail to this survey.)","Share your Secrets: Times and Dates - Please let us know about all the apps you are using regarding time management. [Comma, separated answers, are, highly apprechiated]","Share your Secrets: Files and Notes - Please let us know about all the apps you are using regarding file organization and note-taking. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: Peers and Partners - Please let us know about all the apps you are using regarding personal connection and team-learning. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: The MVP - Please let us know about the app/service/device that you are using the most and could not study without. [Name the app and explain what makes it your ""Most Valuable Player""]","What program are you enrolled in?","What semester are you in?","In case the next semester will be an online semester like the current, how important would it be for you to know this as soon as possible?","Please share anything that so far you had no chance of mentioning!"
"2020/06/11 3:31:47 PM GMT+2","4","2","7","There is no space between working space and private life anymore. The ""fun things"" about Uni are completely missing, the small things like eating together or enjoying the sun infront of the cafeteria, basically there is no social interacting anymore.","9","5","8","8","2","7","5","5","3","7","5","2","3","","","9","mental health issues;social issues;term abroad cancelled / postponed;internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","Examination office;other students and friends","more than 30 ECTS","None","about the same","10","Yes, more than one semester more","Yes","No","No","less often than in previous semesters","No","Yes","Yes","Hybrid Laptop/Tablet;Pen & Paper","Frosch","6","Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","8","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","local jitsi, skype, bbb","","BSc CogSci","4","Very important to know ASAP",""
"2020/06/11 3:34:33 PM GMT+2","9","9","9","","8","","","","","","","","7","7","","","","","","2","","No","I dont suffer from any psychological condition","","","30 ECTS","None","a bit more","6","No","Yes","No","No","less often than in previous semesters","No","No","No","Desktop/Laptop Computer;Printer;Pen & Paper;Statty's Notes; second computer display","Library Books","2","Riot;Telegram Group Chats (CoXi chat; single course chats)","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","Clear (as a ToDo List), Apple ""Notizen"" (Also as a ToDo List), MonthCal (as a clear calendar)","Dropbox (for file sharing and saving), Microsoft OneNote (to take notes during lectures)","WhatsApp, Telegram, Discord, Google Drive","Microsoft OneNote, its my MVP because it's great for taking notes and organizing them clearly, plus I can access them from all devices, and I can add files like Lecture-PDF's or screenshots to notes","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/11 3:35:15 PM GMT+2","7","8","8","","6","8","10","","","","","","","","","","9","","","2","term abroad cancelled / postponed","No","I dont suffer from any psychological condition","","","25 ECTS;30 ECTS","1","a bit less","6","No","No","No","Yes","about the same","No","No","No","Desktop/Laptop Computer","","3","Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","Microsoft To Do","","Discord","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 3:39:01 PM GMT+2","2","4","6","It is much more difficult to stay disciplined, and to stay up to date with important information","7","5","5","7","7","8","","","1","1","","","","","","7","social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","","Loneliness.Isolation makes studying harder ","","more than 30 ECTS","None","a bit more","7","Yes, one semester more","Yes","Yes","","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","4","Slack;Riot;Stud.IP Forum;Discord","Powerpoint","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","3","Vips (With Question Pool & Selftest options )","No","No","Forest","","","","BSc CogSci","2","Good to know at some point but not urgent","I really hope that the next winter semester will be a normal semester as 'usual', or at least offers many smaller lectures and tutorial sessions to help students cope with the workload and isolation"
"2020/06/11 3:44:05 PM GMT+2","10","7","10","","10","10","10","","","10","","","","","","","","","Eventhough the online format suits the lectures, the quality of the resulting programs varies. E.g. it would be beneficial if lecturers adjusted their style for prerecorded lectures. Since we do not see each other in person, the (in my opinion silly) pressure to avoid ""just"" reading off of a script is non-existant. I'd much prefer you reading a script if it meant that the information was conveyed in a more concise way. At least one lecturer appears to utilize editing techniques in their prerecorded videos, making cuts. Whether this is to just take a break, edit out mistakes, or to select a better take, I appreciate this. I can't reasonably expect everybody to learn about video editing, but it can significantly improve the quality of the lectures.","3","financial issues;social issues;internship (or similar) cancelled / postponed","Seems likely /or/ Yes, but not diagnosed","No","","None","more than 30 ECTS","None","a bit more","3","No","No","No","No","about the same","No","No","No","Desktop/Laptop Computer","Secluded Workplaces (e.g. Library Rooms)","1","Stud.IP Forum;Discord","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","5","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","","4","It doesn't matter at all when I would know","Every single questionnaire of this kind so far was biased towards assuming that the online semester made things worse. Many questions do not entertain the possibility that things might have improved. E.g. the responses to ""If you suffer from any psychological conditions, did your situation worsen since March 2020?"" does not offer an option for declaring that, on the contrary, my mental situation improved by a lot. People don't seem to consider that previous conditions might not have been ideal for everybody involved, and that instead of ""coping"" with the current situation, some students may be rejoicing at the new opportunities given to them. --- It is important to consider that, just as some students suffer under the new circumstances, others suffered under the old ones and it is only now that they can realize their full potential. I hope that after the pandemic passes the faculty as a whole won't look back on the online semester as nothing more than an inconvenience, but as an opportunity to improve university life for everyone."
"2020/06/11 3:45:59 PM GMT+2","4","4","5","Working from home I can't motivate myself as much as when I'm in the university surrounded by fellow students. Also being in the flat really invites procrastination.","7","3","7","4","3","4","","","4","4","5","6","6","In Seminars the online format doesn't really invite discussion that much especially because I for example don't have a working mic or camera on my laptop so I can't speak in discussions and will have to use my phone to record myself during presentations.","","4","social issues;issues with technical equipment (computer, internet, ...)","No","I dont suffer from any psychological condition","","None","25 ECTS","None","about the same","6","No","Yes","Yes","","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Phone for participating with mic and camera","Frosch","2","","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","4","File System (With according Folders & File Names)","Yes","Yes","","Google drive","Google drive, google colab","","","6","Very important to know ASAP",""
"2020/06/11 3:46:07 PM GMT+2","8","7","7","","4","8","8","5","5","5","5","5","8","8","8","5","5","","","4","no particular issues","No","I dont suffer from any psychological condition","","Advice Fachschaft","20 ECTS","1","a bit less","8","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","Yes","Yes","Yes","Hybrid Laptop/Tablet;Printer;Pen & Paper","Mensa","6","Skype","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","7","Vips (With Question Pool & Selftest options )","Yes","Yes","","Notion","","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/11 3:50:37 PM GMT+2","8","8","9","Self-organizing even more than usual makes it easier to manage time (and brain power)","9","8","7","","8","8","","","8","","","","8","The stud.ip courseware (if used well) helps to follow the red thread of a course","","3","term abroad cancelled / postponed","Seems likely /or/ Yes, but not diagnosed","No","Missing motivation/feeling to ""empty-headed"" to concentrate: It helps to get properly dressed and seperate work space from relaxation space as good as possible to get into the necessary mindset when you need to focus on study work.","None","more than 30 ECTS","1","a bit more","6","No","No","No","No","about the same","No","No","No","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Pen & Paper","","3","Blubber;Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","Todoist","","","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 4:19:50 PM GMT+2","8","10","8","I was surprised with how good BBB is.","","","","","","","","","8","","10","10","","","","1","social issues;internship (or similar) cancelled / postponed","Seems likely /or/ Yes, but not diagnosed","No","","None","less than 15 ECTS","None","much less","5","Yes, more than one semester more","No","No","No","less often than in previous semesters","Yes","","No","Desktop/Laptop Computer;Smartphone","Mensa","3","","Book","Video of slides + Narration by lecturer.","7","Wiki (Look up specific descriptions & definitions)","No","No","","","","","","6","It doesn't matter at all when I would know","I like the way you are supporting us as Dean of studies, and think you do a great job."
"2020/06/11 4:23:19 PM GMT+2","9","9","9","","9","8","6","6","6","9","6","6","10","10","","","","","","2","social issues;Could not participate in ultramarathon event in Switzerland","No","","","None","more than 30 ECTS","None","a bit more","3","No","Yes","No","Yes","less often than in previous semesters","Yes","No","No","Desktop/Laptop Computer","Frosch","5","Slack;Riot;Discord","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","3","+VIPS +Wiki +Courseware","No","Yes","Basic phone apps like samsung calendar, samung notes and alarm function","Adobe Acrobat Reader, Open Office","Telegram, Whatsapp, Discord","Telegram","BSc CogSci","2","Good to know at some point but not urgent","Merely studying online is easier because I am not bound to lecture times anymore, thus I wish that, even if regular university is open again, all lectures and contents necessary to learn and pass the courses can be found on Stud.IP. This gives so much flexibility, because I am able to catch up with monday's lecture content on a sunday, for instance, if time and work are more urgent for other courses."
"2020/06/11 4:40:12 PM GMT+2","2","5","6","Not all courses are good modeled for online study","9","4","6","8","4","6","","3","2","3","","2","9","","","6","physical health issues;financial issues;social issues;internship (or similar) cancelled / postponed;issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","","20 ECTS","3","much less","6","Yes, one semester more","No","No","No","less often than in previous semesters","No","Yes","No","Hybrid Laptop/Tablet;Tablet (+ Pen)","Secluded Workplaces (e.g. Library Rooms)","2","Riot;Discord","HTML/Web","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","2","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","No","","","","","","6","Very important to know ASAP","If next sem is going to be online i think the course Designer should be provided with some extra knowledge about how to do it in better way. The course i found very well designed is Into to AI course"
"2020/06/11 5:05:13 PM GMT+2","6","4","7","","8","7","3","5","3","7","","","5","6","","","","","","4","financial issues;social issues;issues with access to study material (library, labs)","No","","","None","25 ECTS","3","much less","7","Yes, one semester more","Yes","Yes","","about the same","No","No","Yes","Desktop/Laptop Computer","Secluded Workplaces (e.g. Library Rooms)","4","Telegram","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","Yes","","","","","","6","Very important to know ASAP",""
"2020/06/11 5:13:57 PM GMT+2","6","6","5","","6","3","5","6","3","6","5","3","4","5","5","4","2","","","2","issues with technical equipment (computer, internet, ...)","No","I dont suffer from any psychological condition","","None","less than 15 ECTS","1","much less","3","Yes, one semester more","Yes","Yes","Yes","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer","Secluded Workplaces (e.g. Library Rooms)","2","Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","10","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/11 5:21:36 PM GMT+2","2","4","1","No longer taking classes (credits are full) and only working on thesis research = complete isolation at home with very few interactions with fellow students (which have been facilitated by attending classes/eating at the mensa in past semesters)","7","","","","","","","","","","","6","","","","5","mental health issues;financial issues;social issues","Seems likely /or/ Yes, but not diagnosed","Yes, to the degree where it made me dysfunctional on some level","","None","less than 15 ECTS","None","much less","","Yes, one semester more","No","Yes","","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Printer","Frosch","2","Discord","","","","","No","Yes","Phone timer (Huawei), Microsoft To Do","OneDrive, OneNote","","Laptop: literally ALL of my work is done on this machine, and without it I would not be able to do anything university-related","BSc CogSci","8+","Good to know at some point but not urgent",""
"2020/06/11 5:22:25 PM GMT+2","8","3","5","","10","3","4","1","1","3","5","2","2","2","5","4","2","","","6","mental health issues;social issues;term abroad cancelled / postponed;internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...)","Seems likely /or/ Yes, but not diagnosed","Yes, to the degree where it made me dysfunctional on some level","","Psychological counseling;Examination office","25 ECTS","1","about the same","3","No","Yes","No","Yes","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Printers","7","","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","4","","Yes","Yes","-","-","BBB, Telegram...","-","BSc CogSci","4","Very important to know ASAP",""
"2020/06/11 5:28:24 PM GMT+2","6","3","1","In the beginning, I expected that I actually get along well in this semester, because I save time by only having to watch a lecture once because in other semesters it often happened that I chatted with friends in lectures and had to revisit it at home. But now I struggle to sometimes even get up to watch it because I cannot look forward to seeing my friends there. And it's much easier to get lost. ","4","7","8","4","5","","","","3","4","","3","","","Sometimes perhaps better prepare lecturers and tell them what (new) resources they can use. ","9","mental health issues;social issues;issue of only having one room/one working place where you have to do all, therefore your recreational and your study life are not seperated at all","Yes (Diagnosed or Suspected; via health care professional)","Yes, to the degree where it made me dysfunctional on some level","","Psychological counseling;work as a mentor in the coxi tandem mentoring team, which gives me responsibility and social contacts","30 ECTS","None","about the same","8","No","Yes","Yes","","about the same","Yes","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Pen & Paper","Frosch","7","Stud.IP Forum;Discord","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Vips (With Question Pool & Selftest options )","Yes","Yes","Forest","","Telegram, Discord","","BSc CogSci","4","Good to know at some point but not urgent","Many of my mental health issues are because of personal problems that are not really related to the online semester. What may be related, is that I don't see my friends in person and my daily schedule is more compromised because I don't have to get up and go to the campus. "
"2020/06/11 5:33:40 PM GMT+2","1","1","2","","2","3","3","3","2","1","","","1","1","","1","1","I don't think online lectures work well as the uploaded videos often have a very bad quality or are even missing. In addition to that it is also harder to ask the lecturer questions, as they often don't offer Q&A sessions. ","","9","mental health issues;social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...)","No","","","Examination office","25 ECTS","4","a bit less","7","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Printer","Secluded Workplaces (e.g. Library Rooms)","4","","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","4","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","","","","BSc CogSci","4","Very important to know ASAP","I think it would be very helpful to get information about the exams from last semester and also the current semester as soon as possible, because I know a lot of people are struggeling to plan their summer if you need to work to finance your studies. "
"2020/06/11 5:34:41 PM GMT+2","3","4","6","Less possibilities to interact / work togehter with other students, less productive working at home","8","","","","6","4","","","2","2","8","","","","","7","mental health issues;social issues;internship (or similar) cancelled / postponed;postpone master thesis","","","","None","15 ECTS","2","much less","8","Yes, one semester more","Yes","Yes","","less often than in previous semesters","No","","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Mensa","4","Slack;Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","No","Microsoft To Do","","Telegram, Skype, Slack","","MSc CogSci","5","Good to know at some point but not urgent",""
"2020/06/11 5:36:10 PM GMT+2","2","4","2","digital study environment, structure, own organization, stress and worries (financial, general)","8","3","1","3","4","5","","3","5","6","","","1","communication especially regarding the exams, also from WS19/20","minimum 3 weeks before announcing a exam not just 8 days (Intro to Neuro, WS19/20)","9","physical health issues;financial issues;social issues;term abroad cancelled / postponed;internship (or similar) cancelled / postponed","No","No","","some but don't know which one ","20 ECTS","3","much less","7","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","4","Blubber","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","5","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","paper calendar ","paper","telegram ","","BSc CogSci","2","",""
"2020/06/11 5:46:35 PM GMT+2","2","3","4","it's so boring and sad to sit in front of the computer and do everything like that. I quite miss my fellow students and Frosch and the Cafeteria and the people working at the campus Westerberg.","4","4","","2","","5","","","","","","","5","","Online classes work perfectly for lectures if they are recorded. It happens that there are a lot of lags to people with bad connection, especially in lectures with lots of people. So being available to watch the lecture later is a must in my opinion","9","financial issues;term abroad cancelled / postponed;internship (or similar) cancelled / postponed;could not travel to Germany;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Examination office","25 ECTS","1","much less","4","No","Yes","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Eduroam/UniWifi Speeds","3","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Narration by lecturer (Audio only)","3","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","nothing","libre office, txt files","nothing","no MVP was spotted","BSc CogSci","4","Very important to know ASAP","half tutorials online, half not online. People who don't wanna /cannot risk will not have to. That'd be cool for everyone. But please, exams not online. Maybe orally if too many people cannot be in the same room. "
"2020/06/11 5:51:05 PM GMT+2","8","8","7","","6","","","","","","","","","","","","7","","","3","issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Examination office","less than 15 ECTS","None","much less","5","No","Yes","Yes","Yes","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Library Books","3","BigBlueButton","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","6","Vips (With Question Pool & Selftest options )","No","No","","Mendeley, Pages, Overleaf","Telegram","","BSc CogSci","8+","It doesn't matter at all when I would know","I am currently attending language lessons as well. Usually such lectures fill me with a lot of anxiety, but I feel better going about it with online lectures. "
"2020/06/11 5:56:24 PM GMT+2","8","9","9","Less appointments-> less stress","","10","10","10","9","","","","9","9","3","8","","The well working parts depend on a good internet connection;)","","3","internship (or similar) cancelled / postponed","No","No","","None","25 ECTS","None","about the same","5","No","Yes","No","No","about the same","No","No","No","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Printer;Pen & Paper","Workplaces in lib & frosch","3","Slack;Stud.IP Forum;Discord","PDF : i haven't jet experiened them with notes but assume they'd be helpful","Video of slides + Narration by lecturer.","5","Vips; etherpad would be helpful for some groupwork if possible","Yes","Yes","My offline bullet journal;), the timer of my phone;)","Onenote, explorer, libreoffice","Discord, Telegram, Skype","Laptop with internet","BSc CogSci","4","It doesn't matter at all when I would know","You do a great job! Thanks! It is absolutely possible for me to have an enjoyable semester! -- One further note is (exam) preparation. P reparation: one lecture had some issues with providing the lectures. I have the feeling this changes now, clear communication and maybe a switch to another media would have been appreciated anyways. The communication of the issues and how they will be handled by the course didn't give me direction. --- My personal note about exams: As to now I don't know about the plans for exams. I'm getting a little nervous about not knowing the dates ;):) --- I observe that I can handle ""we are working on it to try to make it online"" more indulging than ""we are waiting & hoping for being able to do it offline"" Thanks again for the charing work you all are putting in to make this work so extraordinary smooth;):);)"
"2020/06/11 6:13:16 PM GMT+2","6","5","7","","7","7","","","","","","","7","7","","","","","","4","mental health issues","Seems likely /or/ Yes, but not diagnosed","No","","None","more than 30 ECTS","None","a bit more","6","Yes, one semester more","Yes","No","No","less often than in previous semesters","Yes","No","Maybe","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","7","Riot;Discord","Powerpoint","Video of slides + Narration by lecturer.","7","Wiki (Look up specific descriptions & definitions)","Yes","Yes","Dynalist, notion","OneNote for note-taking","Skype, Discord, Telegram, Whatsapp, Jitsi","VLC media player, Chrome and Firefoyx Browser","BSc CogSci","2","Very important to know ASAP","I'm quite concerned about the 40 ECTS mark that you have to fulfill during the first two semesters of the bachelors program as I e.g. didn't have the chance to finish some of the courses from last semester (math and informatics) which led me to take quite a lot of courses this semester (and due to that I'm pretty stressed out) as I'm afraid to have to little ECTS by the end of the second semester."
"2020/06/11 6:52:18 PM GMT+2","8","3","7","","10","4","6","2","1","2","1","","7","8","7","9","7","","","6","social issues;internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Advice mentoring team","more than 30 ECTS","1","about the same","9","No","Yes","No","No","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Tablet (+ Pen)","Frosch","10","Riot;Stud.IP Forum;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","3","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","OneNote","https://webconf.uni-osnabrueck.de/b, WhatsApp, Telegram, Discord, https://meet.osna.social/","","BSc CogSci","4","It doesn't matter at all when I would know",""
"2020/06/11 7:21:32 PM GMT+2","4","4","5","","10","","","","","","","","","","","5","4","","","5","social issues;issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","Firstly to be mentioned, my problems are not as serious as the problems probably most people face right now. But for me, sharing my room´with my partner and hence also sharing the one desk is of an issue. Not personally but workwise, since he has a lot of skype/zoom conferences where he needs to talk and i am currently writing my bachelor thesis and i really need a quite place to work every once in a while which is currently not given. Also when it comes to scanning/copying I am not equipped at all, and the bibs being closed is quite a difficulty. If the bibs could reopen under strong regularzation that would be of great help for me.","None","less than 15 ECTS","None","much less","5","","Yes","Yes","","less often than in previous semesters","No","","Maybe","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","3","Slack","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer.","5","","No","No","","","","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/11 8:02:59 PM GMT+2","8","7","9","I appreciate being able to work from home.","8","7","9","10","10","9","","","8","10","","9","8","","","3","physical health issues;mental health issues;internship (or similar) cancelled / postponed","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","","Psychological counseling;Examination office","more than 30 ECTS","None","a bit more","7","No","No","No","Yes","less often than in previous semesters","Yes","Yes","Maybe","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Tablet (+ Pen);Printer;Pen & Paper","Mensa","3","Slack;Blubber;Stud.IP Forum;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","5","File System (With according Folders & File Names)","Yes","Yes","","Google Drive, GitHub","Discord, Telegram","Discord: it lets me communicate and confer just as I would with my fellow students in real life","","4","Good to know at some point but not urgent","I hope that the online semester will still permit me to take my oral 'Modulprüfung', as I need it to sign up for my Bachelor's Thesis in the sixth semester.
Profs should refrain from making their courses more work-intense due to lack of organizational ideas for the exam."
"2020/06/11 8:09:31 PM GMT+2","5","8","6","","6","7","10","","8","","","","9","8","","","","","","6","no particular issues","No","","","","more than 30 ECTS","None","a bit more","8","No","Yes","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","4","Stud.IP Forum","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer.","6","Vips (With Question Pool & Selftest options )","Yes","No","Calendar, Pomodoro Timer","","WhatsApp, Telegramm, Skype, BigBlueButton","Pomodoro Timer","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 8:26:59 PM GMT+2","2","4","2","I miss social interactions - especially meeting people randomly on campus, the typical university life, regular classes, the cafeteria and cogsci events.","8","9","","5","6","4","","","2","3","4","","","","","6","mental health issues;social issues;issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","I find it very hard to motivate myself. Normally I would be able to spatially seperate uni and free time but now I am always in the same room.","family and friends","30 ECTS","3","about the same","5","No","Yes","Yes","","less often than in previous semesters","No","Yes","Yes","Hybrid Laptop/Tablet;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","10","Email, Big Blue Button","PDF (no Lecturer Comments)","Narration by lecturer (Audio only)","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","OneNote","WhatsApp, Telegram, Skype","Ecosia since I always have to look up stuff","BSc CogSci","6","Good to know at some point but not urgent","I have the feeling that not all lecturers know how the technical stuff works even though they try their best. It might be a good idea to give them instructions about every function of StudIP so they do not feel lost. 

Also it is really annoying to not know when exams are going to take place. This applies especially to the courses for the psychology students. "
"2020/06/11 8:31:29 PM GMT+2","8","3","4","Die durchgehende Prüfungssituation im Semester mit den Hausaufgaben ist eine starke Belastung. Die durchgehende Prüfungssituation entsteht durch die vielen Präsentationen und Projekt im Semster, die auf Grund der Digitaliserung gemacht wird","7","1","","9","6","9","","","4","4","","","","","","8","mental health issues","Seems likely /or/ Yes, but not diagnosed","Yes, to the degree where it made me dysfunctional on some level","","Psychological counseling","15 ECTS","2","a bit less","8","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","Yes","Maybe","Hybrid Laptop/Tablet","Frosch","1","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","9","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","word","Telegram, Whatsapp, Zoom, Skype","Studip","BSc CogSci","6","Good to know at some point but not urgent",""
